layer,head,H_max,tau,eff_bw,r2,H_final,norm_final,utilization
0,0,2.9931091615348144,7.654257187038113,7.961880187514246,0.835927670002206,3.3370044,0.4767149175916399,0.4767149175916399
0,1,5.483774545796638,14.101881683538995,44.74872108674544,0.9647019169806423,5.9629927,0.8518560954502651,0.8518560954502651
0,2,5.157262226335074,14.328964247113001,35.685404640555326,0.8723229395734233,5.401725,0.7716749736240932,0.7716749736240932
0,3,5.587766884863946,20.983523525466666,48.093395590311175,0.9493683539955762,6.0231485,0.8604497909545898,0.8604497909545898
0,4,4.988537917635598,13.712950980637018,31.74677015382386,0.8215047497341116,5.823987,0.8319981438773019,0.8319981438773019
0,5,5.183437824564532,18.79723977405329,36.338773572465726,0.9627867186979389,5.518717,0.7883881160191127,0.7883881160191127
0,6,4.950067549033301,10.661750689795916,30.911409807875568,0.943344836597554,5.3615894,0.7659413473946708,0.7659413473946708
0,7,4.774151693469595,17.1544858587831,27.36294664296291,0.7891554904060596,5.3908486,0.7701212338038853,0.7701212338038853
0,8,5.010946019409657,11.135900761379837,32.24371386383898,0.8680486272677279,5.748599,0.8212284360613141,0.8212284360613141
0,9,3.7701944522542434,8.224889569463434,13.643997137303227,0.866954864142212,3.8730686,0.553295510155814,0.553295510155814
0,10,5.578650392990655,15.119788397924427,47.79044820735692,0.9127396808582484,6.281898,0.897414003099714,0.897414003099714
0,11,5.4612845833120875,18.265000990420486,44.05654890585046,0.9388927175410647,5.893585,0.8419407435825893,0.8419407435825893
0,12,4.423414813787743,13.496596359682924,21.45757020935166,0.6016794739745763,5.377656,0.7682365689958844,0.7682365689958844
0,13,5.132815195557639,15.00705434527575,35.085796173002166,0.9816330595192473,5.184575,0.7406535829816546,0.7406535829816546
0,14,4.025898294416881,10.80047291288039,16.289814773689105,0.8736084662593542,4.3809686,0.6258526529584613,0.6258526529584613
0,15,4.91201585869265,20.35967371466477,30.10676638448486,0.6783143099792166,5.2266064,0.7466580527169364,0.7466580527169364
1,0,5.563149194884452,30.971919531687107,47.27970716611094,0.8836206092861115,5.9979715,0.8568530763898577,0.8568530763898577
1,1,4.2492634059801775,30.79351236542979,19.017601580771615,0.9071427769598249,4.6280107,0.6611443928309849,0.6611443928309849
1,2,5.249329799055723,12.616089711768812,38.03695358845467,0.9504251815616878,5.58628,0.7980399812970843,0.7980399812970843
1,3,4.208779894793559,21.03231603501068,18.491365948807854,0.7755456826251789,4.538336,0.6483336857386998,0.6483336857386998
1,4,4.056996961539479,15.061920471984589,16.644769208760714,0.8667262433986955,4.6199327,0.6599903787885394,0.6599903787885394
1,5,4.781023071322253,23.38613943083113,27.493583827292277,0.8711728969457159,5.2664165,0.752345221383231,0.752345221383231
1,6,2.1844605606303,16.705500930877264,4.545567937848495,0.3789972450221605,1.0340899,0.1477271318435669,0.1477271318435669
1,7,3.697148424749207,16.491064665624904,12.970376244381795,0.524421994812071,5.1005716,0.7286530903407505,0.7286530903407505
1,8,5.573773136528094,20.413404804735663,47.62915790201606,0.8961331792840691,6.0353985,0.8621997833251953,0.8621997833251953
1,9,4.2514762390724785,30.49104594137539,19.046793521625514,0.8821566523177072,4.256506,0.6080722808837891,0.6080722808837891
1,10,2.145629077107824,3.3702168422428733,4.424851618364751,0.15645889650968314,1.6291847,0.2327406747000558,0.2327406747000558
1,11,3.211749297511689,24.325145564449713,9.26473234263291,0.7209020449777014,3.500937,0.500133855002267,0.500133855002267
1,12,2.7147405716802475,5.6922563164335305,6.564752277399728,0.6445436993987606,2.6436248,0.3776606832231794,0.3776606832231794
1,13,4.743899279269143,15.59055172409172,26.795136851496622,0.9495733578349764,5.08428,0.7263257162911552,0.7263257162911552
1,14,2.379130530846522,3.0101498967002494,5.202231247637213,0.1238737542285826,3.644496,0.5206422805786133,0.5206422805786133
1,15,4.422793857763568,27.594730478548247,21.44833655978797,0.9353037430644111,4.7467136,0.6781019483293805,0.6781019483293805
2,0,5.03286910537592,27.70113405984764,32.73742865474452,0.8730834470761483,5.2857466,0.7551066534859794,0.7551066534859794
2,1,5.591451311713881,24.84026710328132,48.21637588240507,0.9288846670742702,5.956315,0.8509021486554827,0.8509021486554827
2,2,5.265921488854749,27.45352921170231,38.47692200217479,0.9692584272346833,5.5214868,0.7887838227408273,0.7887838227408273
2,3,5.144304910751005,28.963531093694993,35.36633732941153,0.9805109578367709,5.2211018,0.7458716801234654,0.7458716801234654
2,4,5.273543221062787,21.39306558614718,38.68073278621937,0.7869734587635808,5.89505,0.8421500069754464,0.8421500069754464
2,5,3.7049608965382643,7.113067967743751,13.040803849780382,0.6657613853248159,4.642258,0.663179738180978,0.663179738180978
2,6,5.20869747830874,20.499011016393965,36.98061925453003,0.9086828752816289,5.384977,0.769282409123012,0.769282409123012
