layer,head,H_max,tau,eff_bw,r2,H_final,norm_final,utilization
0,0,2.9931091615348144,7.654257187038113,7.961880187514246,0.835927670002206,3.3370044,0.4767149175916399,0.4767149175916399
0,1,5.483774545796638,14.101881683538995,44.74872108674544,0.9647019169806423,5.9629927,0.8518560954502651,0.8518560954502651
0,2,5.157130185470959,14.32803893313121,35.6821387278633,0.8723242989593804,5.4014997,0.7716428211757115,0.7716428211757115
0,3,5.587766884863946,20.983523525466666,48.093395590311175,0.9493683539955762,6.0231485,0.8604497909545898,0.8604497909545898
0,4,4.988537917635598,13.712950980637018,31.74677015382386,0.8215047497341116,5.823987,0.8319981438773019,0.8319981438773019
0,5,5.183437824564532,18.79723977405329,36.338773572465726,0.9627867186979389,5.518717,0.7883881160191127,0.7883881160191127
0,6,4.950067549033301,10.661750689795916,30.911409807875568,0.943344836597554,5.3615894,0.7659413473946708,0.7659413473946708
0,7,4.774151693469595,17.1544858587831,27.36294664296291,0.7891554904060596,5.3908486,0.7701212338038853,0.7701212338038853
0,8,5.010946019409657,11.135900761379837,32.24371386383898,0.8680486272677279,5.748599,0.8212284360613141,0.8212284360613141
0,9,3.7701944522542434,8.224889569463434,13.643997137303227,0.866954864142212,3.8730686,0.553295510155814,0.553295510155814
0,10,5.578650392990655,15.119788397924427,47.79044820735692,0.9127396808582484,6.281898,0.897414003099714,0.897414003099714
0,11,5.4612845833120875,18.265000990420486,44.05654890585046,0.9388927175410647,5.893585,0.8419407435825893,0.8419407435825893
0,12,4.423414813787743,13.496596359682924,21.45757020935166,0.6016794739745763,5.377656,0.7682365689958844,0.7682365689958844
0,13,5.132815195557639,15.00705434527575,35.085796173002166,0.9816330595192473,5.184575,0.7406535829816546,0.7406535829816546
0,14,4.025898294416881,10.80047291288039,16.289814773689105,0.8736084662593542,4.3809686,0.6258526529584613,0.6258526529584613
0,15,4.91201585869265,20.35967371466477,30.10676638448486,0.6783143099792166,5.2266064,0.7466580527169364,0.7466580527169364
1,0,5.567248745994067,31.038285689784452,47.414247882018486,0.8847538913140642,5.9986453,0.8569493293762207,0.8569493293762207
1,1,4.239414101234022,30.886447276270697,18.888210256969653,0.9008224243673122,4.6319776,0.6617110797337123,0.6617110797337123
1,2,5.259089971274671,12.68054389870439,38.29515496250788,0.9515130722097608,5.5942364,0.7991766248430524,0.7991766248430524
1,3,4.202150412864244,20.905177981183467,18.406589232408177,0.7714925263643754,4.539057,0.6484366825648716,0.6484366825648716
1,4,4.058635032867841,15.088319086070216,16.663678821084122,0.8675678905772404,4.619508,0.6599296842302594,0.6599296842302594
1,5,4.787163407239015,23.402135816057285,27.6108501985816,0.8752444909395674,5.264805,0.752114977155413,0.752114977155413
1,6,2.185861030958892,16.732271411807314,4.54998260876003,0.3805305454242135,1.0346313,0.14780446461268834,0.14780446461268834
1,7,3.7052626454183986,16.758623720101507,13.043531702441602,0.5254268398009958,5.096626,0.7280894007001605,0.7280894007001605
1,8,5.571481867093842,20.370066386782547,47.553573931704655,0.8947691292329192,6.038114,0.8625877244131905,0.8625877244131905
1,9,4.25351065195561,30.78052397063191,19.073671257254965,0.8755348670853037,4.25266,0.607522828238351,0.607522828238351
1,10,2.149044158011471,3.3664863521185118,4.435338329175357,0.15651021546048316,1.6362519,0.23375027520315989,0.23375027520315989
1,11,3.2107572832356306,24.111457309977137,9.258363992165162,0.7215449535420633,3.500733,0.5001046998160226,0.5001046998160226
1,12,2.7158344707808046,5.693304493421701,6.569731777293379,0.6407285948421764,2.6354547,0.3764935220990862,0.3764935220990862
1,13,4.752818634895958,15.645308768121659,26.961308951820428,0.9488483031511531,5.099947,0.7285638536725726,0.7285638536725726
1,14,2.366498181081647,2.963574893700461,5.156878950892366,0.11624473144522385,3.642756,0.5203937121800014,0.5203937121800014
1,15,4.4228686092329115,27.569741226024483,21.449447907761353,0.9346063779475104,4.7510014,0.6787144797188895,0.6787144797188895
2,0,5.033644585202886,27.776854218863253,32.75503046184893,0.8738790437065974,5.285021,0.7550029754638672,0.7550029754638672
2,1,5.590504426490739,24.885364680319224,48.18474037156895,0.9283775464224389,5.9528475,0.8504067829677037,0.8504067829677037
2,2,5.2548339314558685,27.31193709588491,38.182348356093236,0.9689747199685625,5.5146575,0.7878082139151437,0.7878082139151437
2,3,5.142897430349185,29.077523763674733,35.33185107143398,0.9795799983571991,5.2236524,0.7462360518319267,0.7462360518319267
2,4,5.2685670770789335,21.293818343445,38.54754502369302,0.7857929008804366,5.893236,0.8418908800397601,0.8418908800397601
2,5,3.7037332837810646,7.1043013435483315,13.029711936753664,0.6640699591442669,4.6451077,0.6635868208748954,0.6635868208748954
2,6,5.209428803877928,20.52679167852483,36.99937008374874,0.9092579330173769,5.3834777,0.7690682411193848,0.7690682411193848
